parties.memberOf.id.keyword: Descending,contracts.title: Descending,categoría,alias_contrato_importe: Descending,alias_contrato_moneda: Descending,PESOS,fecha,año,alias_proveedor: Descending,OCID,tender.procurementMethod: Descending,source.keyword: Descending,Count,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,310000000,MXN,310000000,31/12/2013,2013,CENTRO DE ACOPIO DE LAGOS DE MORENO,OCDS-0UD2Q6-CADQ/862/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,305000000,MXN,305000000,31/12/2013,2013,QUESOS FINOS SANTA CLARA DE NAMIQUIPA S.A. DE C.V.,OCDS-0UD2Q6-CADQ/475/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,301000000,MXN,301000000,31/12/2013,2013,CENTRO DE ACOPIO PABELLON DE ARTEAGA,OCDS-0UD2Q6-CADQ/901/2014,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE DESCREMADA EN POLVO DE IMPORTACION,Compra de leche,298756000,MXN,298756000,10/11/2017,2017,ILAS DE MEXICO S.A. DE C.V.,OCDS-0UD2Q6-CEX/3866/2016,direct,,1,
liconsa sa de cv,"compra de 6,000 Toneladas de Leche en Polvo Instantánea, fortificada con Vitaminas y Minerales, adicionada con 26% de grasa vegetal para mezclado en seco",Compra de leche,275100000,MXN,275100000,06/01/2016,2016,ILAS DE MEXICO S.A. DE C.V.,OCDS-0UD2Q6-AA-020VST011-E1-2016,direct,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=783101,1,
liconsa sa de cv,LECHE EN POLVO INSTANTANEA FORTIFICA CON VITAMINAS Y MINERALES,Compra de leche,275100000,MXN,275100000,30/06/2016,2016,ILAS DE MEXICO S.A. DE C.V.,OCDS-0UD2Q6-CADQ/189/2016,direct,,1,
liconsa sa de cv,COMPRA DE LECHE DESCREMADA,Compra de leche,274500000,MXN,274500000,07/10/2013,2013,ILAS DE MEXICO S.A. DE C.V.,OCDS-0UD2Q6-CADQ/2727/2013,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,270000000,MXN,270000000,31/12/2013,2013,CENTRO DE ACOPIO DE SAN JUAN DE LOS LAGOS,OCDS-0UD2Q6-CADQ/869/2014,direct,,1,
liconsa sa de cv,"ADQUISICIÓN DE 6,000 TM DE LECHE DESCREMADA EN POLVO NO INSTANTÁNEA SIN FORTIFICAR, CON EL PROVEEDOR PHILPOT DAIRY PRODUCTS, LTD.",Compra de leche,261166800,MXN,261166800,11/04/2017,2017,PHILPOT DAIRY PRODUCTS LTD.,OCDS-0UD2Q6-AA-020VST012-E16-2017,direct,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1091676,1,
liconsa sa de cv,COMPRA VENTA DE LECHE DESCREMADA EN POLVO,Compra de leche,259600000,MXN,259600000,02/01/2014,2014,ILAS DE MEXICO S.A. DE C.V.,OCDS-0UD2Q6-CADQ/3426/2015,direct,,1,
