ocid,id,tender.id,tender.procurementMethodDetails,tender.title,tender.procurementMethod,tender.status,tender.submissionMethodDetails,tender.bidDate,tender.openingDate,tender.procuringEntity.id,tender.procuringEntity.name,tender.tenderPeriod.endDate,tender.tenderPeriod.startDate,tender.description,buyer.id,buyer.name,tag,initiationType,date,tender.submissionMethod,tender.enquiryPeriod.endDate,parties,año
ocds-yfs5dr-467197,llamado-467197,467197,Compra Directa,Compra Directa 27927/2015,open,active,Fecha de solicitud de prorroga: 2015-04-17T00:00:00Z;Fecha y hora de apertura: 2015-04-24T13:00:00Z;Lugar de entrega: DIR. DE COMPRAS TEL: 45220957 O 45222967;Lugar de la apertura: Rincon 575 Piso 8 Sala Agustin Maggi,NA, 2015-04-24T13:00:00Z,83-1,Intendencia de Colonia,2015-04-06T14:30:00Z,2015-03-25T14:50:00Z,"""CAPACITADOR PARA TALLERES EN: MANEJO DE EFLUENTE, PASTURAS, RESIDUOS ORGÁNICOS, LECHERÍA Y QUESERÍA, TRAZABAILIDAD Y MANEJO RESPONSABLE DE AGROQUIMICOS""",83-1,Intendencia de Colonia,compiled,tender,2015-03-25T14:50:00Z,NA,NA,NA,2015
ocds-yfs5dr-486872,llamado-486872,486872,Licitación Abreviada,Licitación Abreviada 1/2016,open,active,Fecha de solicitud de prorroga: 2015-08-23T00:00:00Z;Fecha y hora de apertura: 2015-08-28T10:00:00Z;Lugar de entrega: Oficina licitaciones y compras;Lugar de la apertura: Oficina licitaciones y compras,NA, 2015-08-28T10:00:00Z,29-54,Centro Auxiliar de San Carlos,2015-08-28T10:00:00Z,2015-08-14T09:30:00Z,Suministro leche fresca uso humano,29-54,Centro Auxiliar de San Carlos,compiled,tender,2015-08-14T09:30:00Z,NA,2015-08-23T00:00:00Z,NA,2015
ocds-yfs5dr-475058,adjudicacion-475058,475058,Compra Directa,Compra Directa 114/2015,open,NA,Fecha de solicitud de prorroga: 2015-06-18T00:00:00Z;Fecha y hora de apertura: 2015-06-26T15:00:00Z;Lugar de entrega: O.S.E. SUMINISTROS. OFICINA DE LICITACIONES. SAN MARTIN 3235. MONTEVIDEO;Lugar de la apertura: O.S.E. SUMINISTROS. OFICINA DE LICITACIONES. SAN MARTIN 3235. MONTEVIDEO,NA, 2015-06-26T15:00:00Z,29-16,Centro Departamental de Canelones,2015-05-27T12:00:00Z,2015-05-25T11:30:00Z,RICOTTA Y CREMA DE LECHE,29-16,Centro Departamental de Canelones,compiled,tender,2015-06-10T15:00:00Z,NA,NA,NA,2015
ocds-yfs5dr-482151,adjudicacion-482151,482151,Compra Directa,Compra Directa 142/2015,open,NA,Fecha de solicitud de prorroga: 2015-08-12T00:00:00Z;Fecha y hora de apertura: 2015-08-27T12:00:00Z;Lugar de entrega: PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE ;Lugar de la apertura: SALA APERTURAS - DIVISIÓN RECURSOS MATERIALES Y SERVICIOS,NA, 2015-08-27T12:00:00Z,29-64,Laboratorio Químico Industrial Francisco Dorrego,2015-07-17T14:00:00Z,2015-07-13T13:55:00Z,ADQUISICIÓN DE BOLSAS BLANCO LECHE Y TRANSPARENTES,29-64,Laboratorio Químico Industrial Francisco Dorrego,compiled,tender,2015-07-23T09:25:00Z,NA,NA,NA,2015
ocds-yfs5dr-468186,llamado-468186,468186,Compra Directa,Compra Directa 52/2015,open,active,Fecha de solicitud de prorroga: 2015-04-29T00:00:00Z;Fecha y hora de apertura: 2015-05-07T11:00:00Z;Lugar de entrega: HOSPITAL REGIONAL SALTO;Lugar de la apertura: SAN MARTIN 3235,NA, 2015-05-07T11:00:00Z,29-28,Centro Departamental de Salto,2015-04-10T10:00:00Z,2015-04-08T07:35:00Z,EXTRACTOR DE LECHE MANUAL (SACALECHE),29-28,Centro Departamental de Salto,compiled,tender,2015-04-08T07:35:00Z,NA,NA,NA,2015
ocds-yfs5dr-490594,llamado-490594,490594,Licitación Abreviada,Licitación Abreviada 16/2015,open,NA,"Fecha de solicitud de prorroga: 2015-09-15T00:00:00Z;Fecha y hora de apertura: 2015-09-22T12:00:00Z;Lugar de entrega: MESA DE LICITACIONES PLANTA BAJA SECTOR ""B"" EDIFICIO COMUNAL; ACUÑA DE FIGUEROA Y BURNET ;Lugar de la apertura: MESA DE LICITACIONES PLANTA BAJA SECTOR ""B"" EDIFICIO COMUNAL; ACUÑA DE FIGUEROA Y BURNET ",NA, 2015-09-22T12:00:00Z,88-1,Intendencia de Maldonado,2015-09-22T12:00:00Z,2015-09-09T12:10:00Z,SUMINISTRO DE LECHE EN POLVO PARA INTEGRACION DE LAS CANASTAS DE ALIMENTOS DE LOS PROGRAMAS MUNICIPALES DE ALIMENTACION.-,88-1,Intendencia de Maldonado,compiled,tender,2015-09-09T12:10:00Z,NA,2015-09-15T00:00:00Z,NA,2015
ocds-yfs5dr-485293,llamado-485293,485293,Compra Directa,Compra Directa 132/2015,open,active,Fecha de solicitud de prorroga: 2015-08-11T00:00:00Z;Fecha y hora de apertura: 2015-08-14T14:00:00Z;Lugar de entrega: HOSPITAL REGIONAL SALTO;Lugar de la apertura: SERVICIO DE COMPRAS / PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE,NA, 2015-08-14T14:00:00Z,29-28,Centro Departamental de Salto,2015-08-06T10:00:00Z,2015-08-04T08:50:00Z,EXTRACTOR DE LECHE MANUAL (SACALECHE),29-28,Centro Departamental de Salto,compiled,tender,2015-08-04T08:50:00Z,NA,NA,NA,2015
ocds-yfs5dr-i213572,llamado-i213572,i213572,Compra Directa,Compra Directa 297874/2015,open,NA,Fecha de solicitud de prorroga: 2015-03-12T00:00:00Z;Fecha y hora de apertura: 2015-03-17T10:00:00Z;Lugar de entrega:  Millan 3420;Lugar de la apertura: Millan 3420,NA, 2015-03-17T10:00:00Z,98-1,Intendencia de Montevideo,2015-02-11T18:00:00Z,2015-02-06T22:40:00Z,"RACION PARA VACA LECHERA, RACION",98-1,Intendencia de Montevideo,compiled,tender,2015-02-27T22:40:00Z,NA,NA,NA,2015
ocds-yfs5dr-465055,adjudicacion-465055,465055,Compra Directa,Compra Directa 1/2015,open,NA,Fecha de solicitud de prorroga: 2015-04-10T00:00:00Z;Fecha y hora de apertura: 2015-04-14T14:00:00Z;Lugar de entrega: MISIONES 1513;Lugar de la apertura: Ituzaingó 1474 primer piso; Sección Adquisiciones.,NA, 2015-04-14T14:00:00Z,3-34,Dirección General de los Servicios,2015-03-18T11:00:00Z,2015-03-12T10:45:00Z,"Adquisición de Pan, Leche y Galletas, para proveer dependencias en localidad de Los Cerrillos (Canelones), según archiov adjunto.",3-34,Dirección General de los Servicios,compiled,tender,2015-03-23T11:55:00Z,NA,NA,NA,2015
ocds-yfs5dr-i213808,llamado-i213808,i213808,Compra por Excepción,Compra por Excepción 17082/2015,direct,NA,Fecha de solicitud de prorroga: 2015-02-27T00:00:00Z;Fecha y hora de apertura: 2015-03-04T12:00:00Z;Lugar de entrega: AV JOSE BELLONI N?: 4441 ;Lugar de la apertura: SALA DE APERTURAS :UTE Palacio de la Luz;Paraguay 2431 Planta Baja;Montevideo - Uruguay.,NA, 2015-03-04T12:00:00Z,64-1,Administración Nacional de Puertos,NA,NA,"SS. DE COMIDAS,CAFETERIA Y LECHE RECINTO PORTUARIO",64-1,Administración Nacional de Puertos,compiled,tender,2015-02-18T14:15:00Z,NA,NA,NA,2015
