contracts/id,buyer/type,buyer/type/level,buyer/name,buyer/name/subname,NOG CONCURSO,contracts/description,tender/procurementMethod,SUB MODALIDAD,awards/suppliers/id,awards/suppliers/name,contracts/value/amount,tender/tenderPeriod/startDate,tender/tenderPeriod/startDate/month,tender/tenderPeriod/startDate/year,contracts/period/startDate,awards/date,awards/date/month,contracts/period/startDate/Year,contracts/items/classification/scheme,tender/status,tender/tenderPeriod/endDate,tender/tenderPeriod/endDate/month,tender/tenderPeriod/endDate/year,FECHA CAMBIO ESTATUS
1140,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD PERIFERICA ZONA 5,5799074,"P-0067, C-403, LECHE A BASE DE SOYA SIN LACTOSA, POLVO EXCLUSIVAMENTE BOTE, DE 400 G - 460 G",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,7477279,AGENCIA FARMACEUTICA INTERNACIONAL SOCIEDAD ANONIMA,7855710,05-01-2017,Enero,2017,10-01-2017,10-01-2017,Enero,2017,Salud e insumos hospitalarios|Otros tipos de bienes o servicios|Alimentos y semillas|,Terminado adjudicado,09-01-2017,Enero,2017,NA
1147,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD PERIFERICA ZONA 5,5799155,"P-0068, C-404, FÓRMULA PARA LACTANTE CON LACTOSA FÓRMULA SUCEDÁNEA DE LA LECHE MATERNA, EXCLUSIVAMENTE POLVO, ENVASE DE 400 G - 460 G",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,4751124,BODEGA FARMACEUTICA SOCIEDAD ANONIMA,5781430,05-01-2017,Enero,2017,10-01-2017,10-01-2017,Enero,2017,Alimentos y semillas|Otros tipos de bienes o servicios|Salud e insumos hospitalarios|,Terminado adjudicado,09-01-2017,Enero,2017,NA
1579,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL GENERAL DE ACCIDENTES CEIBAL,5804868,"Fórmula semielemental sin lactosa con o sin sabor ,Polvo Bote 400 - 1,000 g.<br />",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,671517,ABBOTT LABORATORIOS SOCIEDAD ANONIMA,26012860,05-01-2017,Enero,2017,24-01-2017,24-01-2017,Enero,2017,Alimentos y semillas|Otros tipos de bienes o servicios|Salud e insumos hospitalarios|,Terminado adjudicado,13-01-2017,Enero,2017,NA
2105,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,5812291,SUMINISTROS DE PRODUCTOS LACTEOS,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,710605K,"RAMIREZ,LEMUS,,ELIOT,UVALDO",16175980,12-01-2017,Enero,2017,23-01-2017,23-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,16-01-2017,Enero,2017,NA
2225,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,5813956,PEDIDO DE LECHE,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,91715385,"TECNO SUMINISTROS, SOCIEDAD ANONIMA",7642860,12-01-2017,Enero,2017,23-01-2017,23-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,16-01-2017,Enero,2017,NA
2774,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE QUETZALTENANGO,5821649,"Fórmula semielemental sin lactosa, con o sin sabor, Polvo bote 400-1000 g<br />",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,671517,ABBOTT LABORATORIOS SOCIEDAD ANONIMA,571430,11-01-2017,Enero,2017,08-02-2017,08-02-2017,Febrero,2017,Alimentos y semillas|,Terminado adjudicado,17-01-2017,Enero,2017,NA
2790,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,"CONSULTORIO ZACAPA, ZACAPA",5821835,"FORMULA SEMIELEMENTAL SIN LACTOSA, CON O SIN SABOR POLVO BOTE 400-1000G",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,671517,ABBOTT LABORATORIOS SOCIEDAD ANONIMA,72285710,10-01-2017,Enero,2017,13-01-2017,13-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,12-01-2017,Enero,2017,NA
3313,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,"CONSULTORIO ZACAPA, ZACAPA",5828791,"Leche a base de soya sin lactosa<br />Polvo exclusivamente bote, de 400 g - 460 g",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,7477279,AGENCIA FARMACEUTICA INTERNACIONAL SOCIEDAD ANONIMA,7939290,11-01-2017,Enero,2017,13-01-2017,13-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,13-01-2017,Enero,2017,NA
3389,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE QUETZALTENANGO,5829895,"Leche a base de soya sin lactosa, Polvo exclusivamente bote, de 400 g - 460 g<br />",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,7477279,AGENCIA FARMACEUTICA INTERNACIONAL SOCIEDAD ANONIMA,4011430,11-01-2017,Enero,2017,08-02-2017,08-02-2017,Febrero,2017,Alimentos y semillas|Salud e insumos hospitalarios|,Terminado adjudicado,17-01-2017,Enero,2017,NA
4044,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD PERIFERICA ZONA 11,5838665,COD 403 LECHE A BASE DE SOYA SIN LACTOSA POLVO EXCLUSIVAMENTE BOTE DE 400G-460G CANT 110 PEDIDO 1151/2016,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,7477279,AGENCIA FARMACEUTICA INTERNACIONAL SOCIEDAD ANONIMA,4596430,13-01-2017,Enero,2017,19-01-2017,19-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,17-01-2017,Enero,2017,NA
