contracts/awardID,_nomenclatura,tender/tenderPeriod/startDate,buyer/name,tender/description,tender/numberOfBidders,tender/value/currency,planning/budget/estimatedValue,contracts/contractingRegime/name,contracts/items/classification/scheme,tender/procurementMethod,_contracts/id/additionalInformation,contracts/value/amount,entidad_contratante,awards/suppliers/name,ruc,contracts/description,contracts/value/currency,contracts/value/amount/original,contracts/period/startDate,contracts/contractingNumber
382521,AS-SM-4-2017-CS/MDSL-1,2017-08-02,MUNICIPALIDAD DISTRITAL DE SAN LUIS - LIMA,Adquisicion de insumos para el programa de vaso de leche,1,PEN,"350004,00",Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"350004,00",MUNICIPALIDAD DISTRITAL DE SAN LUIS - LIMA,NIISA CORPORATION SA,20502503180,ADQUISICION DE INSUMOS PARA EL PROGRAMA VASO DE LECHE - ITEM 1: LECHE EVAPORADA ENTERA,PEN,"227176,20",22/08/2017,012-2017
415213,AS-SM-12-2017-MDLV/CS-1,2017-12-01,MUNICIPALIDAD DISTRITAL DE LA VICTORIA - CHICLAYO,"ADQUISICION DE LECHE EVAPORADA ENTERA PARA EL PROGRAMA VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE LA VICTORIA, CHICLAYO, LAMABAYEQUE PARA EL AÑO 2018",1,PEN,"341728,13",Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"341728,13",MUNICIPALIDAD DISTRITAL DE LA VICTORIA - CHICLAYO,NIISA CORPORATION SA,20502503180,Adquisición de Leche Evapoarada Entera,PEN,"341728,13",31/01/2018,109-2017-MDLV
421481,AS-SM-16-2017-MPCH-1,2017-12-27,MUNICIPALIDAD PROVINCIAL DE CHUPACA,ADQUISICION DE PRODUCTOS ALIMENTICIOS PARA EL PROGRAMA VASO DE LECHE DE ENERO A DICIEMBRE DEL 2018 PARA LA MUNICIPALIDAD PROVINCIAL DE CHUPACA,1,PEN,"282606,00",Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"282583,20",MUNICIPALIDAD PROVINCIAL DE CHUPACA,NIISA CORPORATION SA,20502503180,ADQUISICION DE PRODUCTOS ALIMENTICIOS PARA EL PROGRAMA VASO DE LECHE DE ENERO A DICIEMBRE DEL 2018 PARA LA MUNICIPALIDAD PROVINCIAL DE CHUPACA ITEM 1,PEN,"141360,00",19/02/2018,011-2018-MPCH
424447,AS-SM-21-2017-CS-MDM-1,2017-12-29,MUNICIPALIDAD DISTRITAL DE MARCONA,ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE MARCONA PARA EL AÑO 2018,1,PEN,"97078,08",Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"97078,08",MUNICIPALIDAD DISTRITAL DE MARCONA,NIISA CORPORATION SA,20502503180,contrato para la ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE MARCONA PARA EL AÑO 2018,PEN,"97078,08",15/02/2018,bienes 2-2018-MDM
142636,AMC-CLASICO-1-2015-CE-1,2015-07-30,MUNICIPALIDAD DISTRITAL DE MOROCOCHA,LECHE EVAPORADA ENTERA DE 410 GR. ALIMENTOS PARA P.V.L.,1,PEN,"73915,20",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Adjudicación de Menor Cuantía,Clásico,"73915,20",MUNICIPALIDAD DISTRITAL DE MOROCOCHA,NIISA CORPORATION SA,20502503180,ADQUISICION DE ALIMENTOS PARA EL PROGRAMA SOCIAL VASO DE LECHE - LECHE EVAPORADA ENTERA X 410 GRT,NA,"73915,20",15/09/2015,001-2015-MDM
131108,EXO-PROC-6-2015-MDE-CE,2015-07-01,MUNICIPALIDAD DISTRITAL DE LA ESPERANZA - TRUJILLO,Contratación de Suministro de Bienes Alimenticios para el Programa Vaso de Leche consistente en Leche Evaporada Entera para el periodo Julio - 2015,NA,PEN,"43668,20",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Exoneración,Procedimiento,"43668,20",MUNICIPALIDAD DISTRITAL DE LA ESPERANZA - TRUJILLO,NIISA CORPORATION SA,20502503180,CONTRATACION DE SUMINISTRO DE BIENES ALIMENTICIOS PARA EL PROGRAMA VASO DE LECHE CONSISTENTE EN LECHE EVAPORADA ENTERA PARA EL PERIODO JULIO-2015,PEN,"43668,20",30/07/2015,007-2015-MDE-SGLSG-PVL
134308,ADS-CLASICO-5-2015-CEP-MDM-1,2015-07-08,MUNICIPALIDAD DISTRITAL DE MARCONA,ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MDM,1,PEN,"93420,00",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Adjudicación Directa Selectiva,Clásico,"93420,00",MUNICIPALIDAD DISTRITAL DE MARCONA,NIISA CORPORATION SA,20502503180,CONTRATO PARA LA ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MDM ITEM 01,PEN,"78300,00",11/09/2015,CONTRATO DE BIENES 4-2015-MDM
182152,LP-CLASICO-1-2015-CE-MDSA-1,2015-07-30,MUNICIPALIDAD DISTRITAL DE SANTA ANITA,ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE,1,PEN,"5468688,30",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Licitación Pública,Clásico,"5468688,30",MUNICIPALIDAD DISTRITAL DE SANTA ANITA,NIISA CORPORATION SA,20502503180,ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE,NA,"5468688,30",25/11/2015,20
360526,AS-SM-2-2017-MDS-CS-1,2017-05-09,MUNICIPALIDAD DISTRITAL DE SONDORILLO,ADQUISICION DE INSUMOS PARA EL PVL PARA LOS AÑOS 2017 Y 2018 DE LECHE EVAPORADA ENTERA EN TARRO DE 410GR.,1,PEN,"223905,00",Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"223905,00",MUNICIPALIDAD DISTRITAL DE SONDORILLO,NIISA CORPORATION SA,20502503180,ADQUISICION DE INSUMOS PARA EL PVL PARA LOS AÑOS 2017 Y 2018 DE LECHE EVAPORADA ENTERA EN TARRO DE 410GR.,PEN,"223905,00",22/06/2017,09-2017
362918,AS-SM-5-2017-MPR/CS.-1,2017-05-17,MUNICIPALIDAD PROVINCIAL DE RECUAY,LECHE EVAPORADA ENTERA PARA EL PROGRAMA VASO DE LECHE 2017,1,PEN,"41364,00",Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"41364,00",MUNICIPALIDAD PROVINCIAL DE RECUAY,NIISA CORPORATION SA,20502503180,CONTRATO DE ADQUISICION DE LECHE EVAPORADA ENTERA,PEN,"41364,00",28/06/2017,3
